epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,20676.4,1.65201,1.17608,0.93005,0.55924,0.37429,0.45102,0.29076,1.65507,1.18047,0.9311,0.000221264,0.000221264,0.000221264
65,20995.8,1.66976,1.1792,0.93463,0.57162,0.40466,0.44508,0.29044,1.63713,1.15521,0.92577,0.000215443,0.000215443,0.000215443
66,21313.4,1.65088,1.16868,0.93176,0.55723,0.42897,0.45722,0.29791,1.63467,1.16144,0.92247,0.000209622,0.000209622,0.000209622
67,21627.7,1.6598,1.16564,0.93086,0.49557,0.44764,0.45864,0.3015,1.62075,1.16157,0.922,0.000203801,0.000203801,0.000203801
68,21981.6,1.65885,1.1553,0.92564,0.55159,0.41186,0.4602,0.28835,1.65942,1.18114,0.92995,0.00019798,0.00019798,0.00019798
69,22319.8,1.62784,1.15126,0.92846,0.53917,0.42489,0.45578,0.29629,1.64408,1.17308,0.92785,0.000192158,0.000192158,0.000192158
70,22642,1.60779,1.14595,0.92446,0.53125,0.4402,0.4638,0.30183,1.60691,1.13191,0.91966,0.000186337,0.000186337,0.000186337
71,22961.5,1.64633,1.14713,0.9258,0.66479,0.38725,0.45577,0.29232,1.65526,1.16712,0.92591,0.000180516,0.000180516,0.000180516
72,23279.7,1.64632,1.14455,0.92562,0.67605,0.40172,0.46166,0.29158,1.66076,1.15484,0.92807,0.000174695,0.000174695,0.000174695
73,23592.2,1.63507,1.14807,0.92543,0.57415,0.42968,0.47277,0.30412,1.61003,1.14245,0.9224,0.000168874,0.000168874,0.000168874
74,23922.5,1.63945,1.14011,0.92479,0.66853,0.4237,0.48429,0.31181,1.60106,1.11642,0.91807,0.000163052,0.000163052,0.000163052
75,24241.2,1.61992,1.12247,0.92488,0.57228,0.43005,0.47418,0.30823,1.61082,1.14319,0.92106,0.000157231,0.000157231,0.000157231
76,24560.1,1.62455,1.12551,0.91966,0.54808,0.43752,0.47832,0.31056,1.60949,1.12858,0.9229,0.00015141,0.00015141,0.00015141
77,24882.9,1.62352,1.12243,0.91832,0.6327,0.42337,0.47412,0.3044,1.59952,1.12974,0.91772,0.000145589,0.000145589,0.000145589
78,25200.2,1.62299,1.1223,0.92174,0.62223,0.42244,0.48037,0.31138,1.60247,1.10407,0.91838,0.000139768,0.000139768,0.000139768
79,25520.9,1.6159,1.10822,0.91852,0.57953,0.42319,0.47798,0.3116,1.59664,1.1087,0.91853,0.000133946,0.000133946,0.000133946
80,25843.8,1.60661,1.11666,0.91945,0.62593,0.42736,0.48549,0.31755,1.6019,1.10162,0.91881,0.000128125,0.000128125,0.000128125
81,26234.2,1.62172,1.10842,0.92436,0.59974,0.44331,0.48321,0.31423,1.60464,1.10163,0.91789,0.000122304,0.000122304,0.000122304
82,26558.4,1.59208,1.09497,0.91541,0.61074,0.4428,0.48706,0.3166,1.59008,1.09133,0.9166,0.000116483,0.000116483,0.000116483
83,26877.3,1.59909,1.10238,0.91817,0.58762,0.45019,0.49593,0.32448,1.57763,1.08918,0.91751,0.000110662,0.000110662,0.000110662
84,27197.6,1.61277,1.11326,0.91758,0.61225,0.44675,0.49966,0.32286,1.58708,1.09871,0.91712,0.00010484,0.00010484,0.00010484
85,27522.5,1.6217,1.11199,0.91967,0.67701,0.43619,0.49414,0.32223,1.57935,1.10348,0.91541,9.90192e-05,9.90192e-05,9.90192e-05
86,27845,1.58153,1.08965,0.91695,0.63298,0.44121,0.49817,0.32694,1.57213,1.08952,0.91506,9.3198e-05,9.3198e-05,9.3198e-05
